RA,Fase,Turma,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Avaliador2,Avaliador3,Avaliador4,IAA,IEG,IPS,IDA,Mat,Por,Ing,IPV,IAN,Fase_Ideal,Defasagem,IPP,INDE 23,INDE_ano_atual,pedra_ano_atual,ano,Fase_Ideal_1,Fase_Ideal_2
RA-21,7,D,Masculino,2022,Escola Pública,,,Ágata,6.945,508.0,9.0,6.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,9.6,9.2,7.5,3.8,7.0,0.5,,7.25,5.0,Fase 8 (Universitários),-1,7.375,,6.945,Ágata,2022,Fase 8,Universitários
RA-22,6,A,Feminino,2019,Rede Decisão,Ametista,Ágata,Ametista,7.474,327.0,10.0,10.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.3,7.4,8.1,6.7,9.0,3.1,7.8,8.833,5.0,Fase 7 (3º EM),-1,7.4739999999999895,,7.474,Ametista,2022,Fase 7,3° EM
RA-23,6,A,Masculino,2021,Escola Pública,,Ametista,Ametista,7.677,243.0,8.0,8.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.3,8.2,8.1,6.7,7.2,4.7,8.2,8.556,5.0,Fase 7 (3º EM),-1,8.457999999999988,,7.677,Ametista,2022,Fase 7,3° EM
RA-24,6,A,Feminino,2021,Rede Decisão,,Topázio,Topázio,8.087,119.0,5.0,5.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.2,7.9,6.9,8.6,10.0,6.3,9.7,9.111,5.0,Fase 7 (3º EM),-1,8.547999999999991,,8.087,Topázio,2022,Fase 7,3° EM
RA-25,6,A,Feminino,2021,Escola Pública,,Topázio,Ametista,7.979,147.0,6.0,6.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.3,8.3,8.8,6.9,9.2,3.8,7.7,9.667,5.0,Fase 7 (3º EM),-1,7.956000000000003,,7.979,Ametista,2022,Fase 7,3° EM
RA-26,6,A,Masculino,2022,Escola Pública,,,Topázio,8.677,17.0,3.0,3.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.6,8.8,10.0,8.0,9.5,4.4,10.0,10.0,5.0,Fase 7 (3º EM),-1,8.569999999999993,,8.677,Topázio,2022,Fase 7,3° EM
RA-27,6,A,Masculino,2016,Rede Decisão,Topázio,Ametista,Ametista,7.124,449.0,12.0,12.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,7.6,8.1,8.0,7.7,6.3,10.0,9.111,5.0,Fase 7 (3º EM),-1,8.717999999999995,,7.124,Ametista,2022,Fase 7,3° EM
RA-28,6,A,Feminino,2019,Escola Pública,Ametista,Ametista,Ágata,6.242,698.0,14.0,14.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,7.9,6.1,7.5,5.0,8.2,1.5,5.3,6.333,5.0,Fase 7 (3º EM),-1,7.153999999999998,,6.242,Ágata,2022,Fase 7,3° EM
RA-29,6,A,Masculino,2022,Escola Pública,,,Quartzo,4.985,821.0,16.0,16.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,4.0,8.8,3.7,6.3,1.1,3.8,7.611,5.0,Fase 7 (3º EM),-1,5.428000000000006,,4.985,Quartzo,2022,Fase 7,3° EM
RA-30,6,A,Feminino,2021,Escola Pública,,Ametista,Ametista,7.605,270.0,9.0,9.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.8,6.4,7.5,7.5,8.5,4.4,9.7,7.333,10.0,Fase 6 (2º EM),0,7.284000000000006,,7.605,Ametista,2022,Fase 6,2° EM
RA-31,6,A,Feminino,2019,Rede Decisão,Topázio,Topázio,Topázio,8.843,9.0,2.0,2.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,10.0,9.5,9.4,8.0,9.0,5.7,9.3,10.0,5.0,Fase 7 (3º EM),-1,9.029999999999996,,8.843,Topázio,2022,Fase 7,3° EM
RA-32,6,A,Feminino,2018,Rede Decisão,Ametista,Ametista,Ametista,7.37,370.0,11.0,11.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.8,5.2,8.8,6.1,5.7,3.6,8.9,7.944,10.0,Fase 6 (2º EM),0,7.612000000000005,,7.37,Ametista,2022,Fase 6,2° EM
RA-33,6,A,Feminino,2020,Escola Pública,Ágata,Ametista,Quartzo,4.952,824.0,17.0,17.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,4.6,7.5,4.8,9.0,1.6,3.7,6.0,5.0,Fase 7 (3º EM),-1,6.219999999999999,,4.952,Quartzo,2022,Fase 7,3° EM
RA-34,6,A,Masculino,2016,Rede Decisão,Ametista,Ametista,Ágata,6.259,692.0,13.0,13.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.6,4.8,8.1,3.8,4.7,4.0,2.8,7.278,5.0,Fase 7 (3º EM),-1,8.134000000000006,,6.259,Ágata,2022,Fase 7,3° EM
RA-35,6,A,Feminino,2019,Rede Decisão,Ametista,Topázio,Topázio,8.965,5.0,1.0,1.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,10.0,9.6,9.4,8.5,9.0,7.1,9.3,10.0,5.0,Fase 7 (3º EM),-1,9.049999999999994,,8.965,Topázio,2022,Fase 7,3° EM
RA-36,6,A,Feminino,2019,Rede Decisão,Topázio,Ametista,Ametista,7.876,177.0,7.0,7.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.2,9.0,6.9,6.8,8.5,4.3,7.8,8.944,5.0,Fase 7 (3º EM),-1,8.171999999999997,,7.876,Ametista,2022,Fase 7,3° EM
RA-37,6,A,Feminino,2019,Rede Decisão,Ametista,Ágata,Quartzo,4.95,825.0,18.0,18.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,5.4,5.0,5.9,2.3,5.3,10.0,5.222,5.0,Fase 7 (3º EM),-1,6.4559999999999995,,4.95,Quartzo,2022,Fase 7,3° EM
RA-38,6,A,Feminino,2017,Rede Decisão,Ametista,Ametista,Topázio,8.523,31.0,4.0,4.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.2,8.9,7.5,8.6,9.0,7.0,9.7,9.833,5.0,Fase 7 (3º EM),-1,8.864,,8.523,Topázio,2022,Fase 7,3° EM
RA-39,6,A,Feminino,2017,Rede Decisão,Ametista,Ametista,Ágata,6.033,722.0,15.0,15.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,4.8,6.9,6.9,7.7,5.1,7.8,6.111,10.0,Fase 6 (2º EM),0,7.808000000000002,,6.033,Quartzo,2022,Fase 6,2° EM
RA-40,5,A,Feminino,2016,Rede Decisão,Ametista,Ágata,Ametista,7.203,429.0,27.0,3.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.9,7.8,7.5,6.8,4.7,7.3,8.4,7.75,5.0,Fase 6 (2º EM),-1,6.930000000000005,,7.203,Ametista,2022,Fase 6,2° EM
RA-41,5,A,Masculino,2018,Escola Pública,Ágata,Ágata,Quartzo,5.581,777.0,51.0,9.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.2,6.1,5.0,5.6,6.3,2.5,8.0,4.375,5.0,Fase 7 (3º EM),-2,4.460000000000006,,5.581,Quartzo,2022,Fase 7,3° EM
RA-42,5,A,Masculino,2019,Rede Decisão,Topázio,Ametista,Ágata,6.72,582.0,33.0,5.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.3,7.9,5.6,4.8,3.7,4.5,6.2,6.083,10.0,Fase 5 (1º EM),0,5.7340000000000035,,6.72,Ágata,2022,Fase 5,1° EM
RA-43,5,A,Feminino,2019,Escola Pública,Ametista,Ágata,Quartzo,5.486,791.0,54.0,11.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,6.3,6.5,5.6,4.3,4.0,5.8,3.2,5.958,5.0,Fase 6 (2º EM),-1,4.443999999999999,,5.486,Quartzo,2022,Fase 6,2° EM
RA-44,5,A,Feminino,2021,Escola Pública,,Ametista,Quartzo,5.542,785.0,52.0,10.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,5.0,5.9,7.5,3.0,2.3,3.5,3.2,7.292,5.0,Fase 7 (3º EM),-2,5.535999999999994,,5.542,Quartzo,2022,Fase 7,3° EM
RA-45,5,A,Feminino,2019,Rede Decisão,Ametista,Topázio,Ametista,7.591,277.0,17.0,2.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.9,8.9,5.6,6.8,6.3,5.2,8.8,7.417,10.0,Fase 5 (1º EM),0,6.176000000000004,,7.591,Ametista,2022,Fase 5,1° EM
RA-46,5,A,Feminino,2022,Escola Pública,,,Ágata,6.048,719.0,46.0,7.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.8,8.4,6.3,2.1,2.8,2.8,0.7,7.083,5.0,Fase 7 (3º EM),-2,5.213999999999999,,6.048,Quartzo,2022,Fase 7,3° EM
RA-47,5,A,Feminino,2022,Escola Pública,,,Quartzo,5.677,762.0,49.0,8.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.9,6.3,7.5,2.1,2.5,2.2,1.5,7.042,5.0,Fase 7 (3º EM),-2,5.485999999999995,,5.677,Quartzo,2022,Fase 7,3° EM
RA-48,5,A,Feminino,2017,Rede Decisão,Ametista,Ametista,Ametista,8.006,140.0,10.0,1.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,6.7,8.4,7.5,8.1,6.7,8.0,9.5,8.5,10.0,Fase 5 (1º EM),0,5.859999999999994,,8.006,Topázio,2022,Fase 5,1° EM
RA-49,5,A,Feminino,2022,Escola Pública,,,Ágata,6.304,687.0,42.0,6.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.5,7.4,7.5,3.9,1.5,4.2,6.2,7.042,5.0,Fase 7 (3º EM),-2,6.356000000000002,,6.304,Ágata,2022,Fase 7,3° EM
RA-50,5,A,Feminino,2022,Escola Pública,,,Ametista,7.138,445.0,28.0,4.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.5,8.4,7.5,7.8,6.5,7.3,9.7,7.542,2.5,Fase 8 (Universitários),-3,7.80625,,7.138,Ametista,2022,Fase 8,Universitários
RA-51,5,B,Feminino,2022,Escola Pública,,,Ágata,6.488,645.0,39.0,13.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.8,7.6,7.5,5.0,4.5,4.5,6.0,6.5,5.0,Fase 7 (3º EM),-2,5.380000000000003,,6.488,Ágata,2022,Fase 7,3° EM
RA-52,5,B,Masculino,2018,Rede Decisão,Topázio,Ametista,Ametista,7.861,183.0,12.0,5.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.6,8.9,7.5,6.2,3.3,6.3,8.8,7.5,10.0,Fase 3 (7º e 8º ano),2,6.309999999999993,,7.861,Ametista,2022,Fase 3,7° e 8° ano
RA-53,5,B,Masculino,2022,Escola Pública,,,Ágata,6.725,579.0,32.0,11.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.2,7.0,7.5,7.0,6.0,8.0,,6.458,5.0,Fase 7 (3º EM),-2,4.6339999999999915,,6.725,Ágata,2022,Fase 7,3° EM
RA-54,5,B,Feminino,2022,Escola Pública,,,Ágata,6.058,716.0,45.0,14.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.9,6.9,7.5,4.8,3.0,6.5,,6.125,5.0,Fase 6 (2º EM),-1,4.529999999999994,,6.058,Quartzo,2022,Fase 6,2° EM
RA-55,5,B,Feminino,2017,Escola Pública,Ametista,Ametista,Ágata,6.576,634.0,38.0,12.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.1,7.6,5.6,7.5,6.7,7.8,7.9,6.5,5.0,Fase 6 (2º EM),-1,4.859999999999998,,6.576,Ágata,2022,Fase 6,2° EM
RA-56,5,B,Feminino,2019,Rede Decisão,Topázio,Topázio,Topázio,8.404,46.0,7.0,1.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,10.0,10.0,7.5,7.0,4.5,6.5,10.0,8.25,10.0,Fase 5 (1º EM),0,6.039999999999992,,8.404,Topázio,2022,Fase 5,1° EM
RA-57,5,B,Masculino,2017,Rede Decisão,Ametista,Ametista,Ametista,7.305,388.0,25.0,10.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.1,8.1,5.6,8.4,9.0,7.0,9.3,7.875,5.0,Fase 6 (2º EM),-1,6.600000000000001,,7.305,Ametista,2022,Fase 6,2° EM
RA-58,5,B,Masculino,2017,Rede Decisão,Topázio,Topázio,Topázio,8.136,103.0,9.0,3.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.6,9.2,6.3,7.2,4.5,8.0,9.0,8.125,10.0,Fase 5 (1º EM),0,6.409999999999991,,8.136,Topázio,2022,Fase 5,1° EM
RA-59,5,B,Masculino,2022,Escola Pública,,,Ametista,7.642,257.0,15.0,7.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.2,9.3,7.5,7.2,7.0,5.7,8.8,7.917,5.0,Fase 7 (3º EM),-2,5.885999999999996,,7.642,Ametista,2022,Fase 7,3° EM
RA-60,5,B,Feminino,2021,Escola Pública,,Quartzo,Quartzo,5.537,787.0,53.0,16.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,6.7,6.0,7.5,4.9,5.0,6.2,3.5,6.167,2.5,Fase 8 (Universitários),-3,7.34375,,5.537,Quartzo,2022,Fase 8,Universitários
RA-61,5,B,Masculino,2021,Escola Pública,,Ágata,Ametista,7.533,298.0,20.0,8.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,9.2,7.4,7.5,5.8,1.7,6.3,9.3,7.875,10.0,Fase 5 (1º EM),0,6.479999999999997,,7.533,Ametista,2022,Fase 5,1° EM
RA-62,5,B,Masculino,2022,Escola Pública,,,Ametista,7.891,173.0,11.0,4.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.8,9.4,7.5,9.3,8.5,10.0,,7.25,5.0,Fase 7 (3º EM),-2,5.709999999999997,,7.891,Ametista,2022,Fase 7,3° EM
RA-63,5,B,Masculino,2018,Rede Decisão,Ametista,Ametista,Topázio,8.282,64.0,8.0,2.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.3,9.1,8.8,8.7,8.2,8.2,9.7,9.417,5.0,Fase 6 (2º EM),-1,6.285999999999996,,8.282,Topázio,2022,Fase 6,2° EM
RA-64,5,B,Masculino,2019,Escola Pública,Ametista,Topázio,Ametista,7.368,372.0,23.0,9.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.1,8.1,8.1,7.5,4.8,8.2,9.4,8.25,5.0,Fase 6 (2º EM),-1,5.779999999999994,,7.368,Ametista,2022,Fase 6,2° EM
RA-65,5,B,Feminino,2022,Escola Pública,,,Ametista,7.712,232.0,13.0,6.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.3,7.7,7.5,9.3,9.0,9.5,9.5,7.875,5.0,Fase 7 (3º EM),-2,6.569999999999991,,7.712,Ametista,2022,Fase 7,3° EM
RA-66,5,B,Feminino,2022,Escola Pública,,,Quartzo,5.665,768.0,50.0,15.0,3.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.5,5.6,7.5,4.5,3.0,6.0,,5.917,5.0,Fase 7 (3º EM),-2,4.616000000000007,,5.665,Quartzo,2022,Fase 7,3° EM
RA-67,5,C,Feminino,2019,Escola Pública,Ágata,Ágata,Quartzo,5.195,812.0,56.0,6.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,5.8,3.0,7.5,3.6,3.0,4.2,3.5,6.889,5.0,Fase 6 (2º EM),-1,6.6719999999999935,,5.195,Quartzo,2022,Fase 6,2° EM
RA-68,5,C,Masculino,2019,Escola Pública,Ametista,Ágata,Ágata,6.438,653.0,40.0,2.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,8.3,6.0,7.5,4.0,4.7,4.8,2.7,7.944,5.0,Fase 6 (2º EM),-1,7.691999999999997,,6.438,Ágata,2022,Fase 6,2° EM
RA-69,5,C,Masculino,2018,Escola Pública,Ametista,Ametista,Quartzo,5.718,756.0,47.0,3.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,8.3,6.1,7.5,2.5,4.7,2.6,0.3,6.167,5.0,Fase 6 (2º EM),-1,6.8459999999999965,,5.718,Quartzo,2022,Fase 6,2° EM
RA-70,5,C,Feminino,2017,Escola Pública,Ágata,Quartzo,Quartzo,5.712,757.0,48.0,4.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,8.8,6.6,5.0,2.9,5.7,2.9,0.2,6.111,5.0,Fase 6 (2º EM),-1,7.097999999999995,,5.712,Quartzo,2022,Fase 6,2° EM
RA-71,5,C,Feminino,2019,Escola Pública,Ágata,Ametista,Quartzo,4.332,846.0,58.0,8.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,7.9,2.0,7.5,1.2,1.3,2.2,0.0,5.833,5.0,Fase 7 (3º EM),-2,4.853999999999994,,4.332,Quartzo,2022,Fase 7,3° EM
RA-72,5,C,Feminino,2022,Escola Pública,,,Ametista,7.64,259.0,16.0,1.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,8.3,7.5,7.5,7.8,7.5,7.8,8.0,8.667,5.0,Fase 7 (3º EM),-2,7.665999999999995,,7.64,Ametista,2022,Fase 7,3° EM
RA-73,5,C,Feminino,2022,Escola Pública,,,Quartzo,5.271,804.0,55.0,5.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,7.1,3.0,7.5,3.3,4.5,3.0,2.3,7.278,5.0,Fase 7 (3º EM),-2,5.953999999999997,,5.271,Quartzo,2022,Fase 7,3° EM
RA-74,5,C,Masculino,2022,Escola Pública,,,Quartzo,4.989,820.0,57.0,7.0,4.0,Avaliador-6,Avaliador-27,Avaliador-28,Avaliador-31,9.6,3.3,7.5,2.0,6.0,0.0,0.0,5.833,5.0,Fase 6 (2º EM),-1,5.523999999999996,,4.989,Quartzo,2022,Fase 6,2° EM
RA-75,5,F,Feminino,2022,Escola Pública,,,Quartzo,3.915,855.0,59.0,4.0,4.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,5.4,3.8,6.3,0.0,0.0,0.0,,4.625,5.0,Fase 6 (2º EM),-1,5.599999999999996,,3.915,Quartzo,2022,Fase 6,2° EM
RA-76,5,F,Feminino,2017,Rede Decisão,Ametista,Topázio,Topázio,9.105,3.0,3.0,1.0,4.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,10.0,9.1,8.1,8.7,9.3,8.3,8.4,9.292,10.0,Fase 5 (1º EM),0,8.765999999999998,,9.105,Topázio,2022,Fase 5,1° EM
RA-77,5,F,Masculino,2019,Escola Pública,Quartzo,Quartzo,Quartzo,3.846,857.0,60.0,5.0,4.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,7.1,2.7,5.0,0.7,0.3,1.8,0.0,4.625,5.0,Fase 6 (2º EM),-1,5.309999999999997,,3.846,Quartzo,2022,Fase 6,2° EM
RA-78,5,F,Masculino,2018,Rede Decisão,Ametista,Ágata,Ametista,7.04,475.0,29.0,2.0,4.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,8.3,6.6,5.6,7.2,8.7,5.7,7.3,8.0,5.0,Fase 7 (3º EM),-2,7.9,,7.04,Ametista,2022,Fase 7,3° EM
RA-79,5,F,Feminino,2018,Rede Decisão,Ametista,Ágata,Ágata,6.847,541.0,31.0,3.0,4.0,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,5.4,6.3,5.6,8.9,9.5,7.7,9.5,7.292,5.0,Fase 6 (2º EM),-1,7.486000000000006,,6.847,Ágata,2022,Fase 6,2° EM
